,attention,name,num_nodes,docs
1125,0.0555555559694767,leaves,2,"[112, 150]"
3224,0.0555555559694767,decisions,2,"[1002, 1038]"
2832,0.0555555559694767,persistent,2,"[744, 521]"
1909,0.0555555559694767,food banks,2,"[975, 239]"
1404,0.0555555522441864,correct,2,"[521, 150]"
434,0.05145644024014473,invest,3,"[497, 150, 30]"
3129,0.04803527891635895,strategies,2,"[746, 1038]"
2076,0.04579390212893486,working together,3,"[497, 259, 526]"
1920,0.044270772486925125,solving,2,"[614, 239]"
198,0.0436771959066391,already know,2,"[18, 239]"
174,0.0436771959066391,truthful,2,"[18, 239]"
1680,0.04315002262592316,wealth,2,"[189, 239]"
1901,0.04313422739505768,income,2,"[877, 239]"
1899,0.04237397015094757,credit,2,"[939, 239]"
1908,0.04222157597541809,safe place,2,"[447, 239]"
1136,0.04192627966403961,specifics,2,"[112, 508]"
1916,0.04150566831231117,wealthy,2,"[980, 239]"
1898,0.041477885097265244,taxed,2,"[828, 239]"
395,0.04114469885826111,youth,2,"[771, 30]"
168,0.040886420756578445,days later,2,"[112, 18]"
3066,0.04061277210712433,five minutes,2,"[851, 678]"
1120,0.04039071872830391,groups,2,"[112, 893]"
1911,0.04027901589870453,substance,2,"[415, 239]"
2777,0.04021834954619408,kyle rittenhouse,2,"[851, 500]"
1155,0.040048807859420776,authorized,2,"[112, 145]"
2201,0.03989928215742111,concepts,2,"[299, 1038]"
2196,0.03989928215742111,launched,2,"[299, 1038]"
1926,0.039780665189027786,adult,2,"[1028, 239]"
998,0.03974365070462227,toll,2,"[112, 82]"
1902,0.03936506807804108,credit card,2,"[605, 239]"
609,0.03925824910402298,minds,3,"[194, 1038, 39]"
2787,0.03919951245188713,field,3,"[506, 579, 1038]"
3195,0.03857937827706337,monday th,2,"[858, 1038]"
3196,0.03857937827706337,relation,2,"[858, 1038]"
1172,0.038442496210336685,intended,2,"[112, 805]"
1164,0.03842936456203461,input,2,"[112, 912]"
1117,0.03826567903161049,sustain,2,"[112, 660]"
1811,0.03823954239487648,exchange,3,"[931, 212, 1038]"
1134,0.038100481033325195,promised,2,"[112, 184]"
1141,0.03789564594626427,financial numbers,2,"[112, 887]"
1115,0.03685449808835983,spending,5,"[842, 239, 112, 336, 126]"
1923,0.036462973803281784,estimate,2,"[705, 239]"
1403,0.03646206110715866,rich,4,"[399, 478, 150, 239]"
1128,0.03642156347632408,bus,2,"[112, 252]"
1759,0.03627632558345795,could never,2,"[201, 239]"
459,0.03576107323169708,new tax,2,"[30, 239]"
397,0.03576107323169708,growth,2,"[30, 239]"
447,0.03576107323169708,banks,2,"[30, 239]"
376,0.03565402328968048,key,6,"[938, 554, 497, 1015, 955, 30]"
1159,0.03564941883087158,laws,2,"[112, 198]"
2163,0.03552958369255066,funding,3,"[771, 298, 291]"
1099,0.03550195321440697,note,2,"[106, 239]"
1929,0.03396250307559967,actually,3,"[336, 887, 239]"
1167,0.03332643583416939,construction,2,"[112, 438]"
1174,0.03218363597989082,supervisors,2,"[112, 345]"
438,0.032108843326568604,survival,2,"[112, 30]"
1907,0.03173549845814705,tax cut,2,"[985, 239]"
1779,0.03172217309474945,inflation,5,"[521, 428, 204, 689, 415]"
1918,0.03171049430966377,guaranteed,2,"[732, 239]"
1123,0.0314917154610157,explained,2,"[112, 493]"
1077,0.03145509213209152,technology,3,"[920, 102, 1038]"
1182,0.03122122399508953,collaboration,3,"[113, 459, 1038]"
58,0.03110998123884201,left,5,"[6, 617, 239, 112, 570]"
822,0.03096950799226761,cause,2,"[69, 975]"
1140,0.030867794528603554,funds,4,"[112, 807, 863, 239]"
1243,0.030765026807785034,resulted,3,"[376, 121, 239]"
840,0.030715743079781532,finance,2,"[70, 239]"
3128,0.030637750402092934,spirit,2,"[746, 975]"
1795,0.03041676990687847,tackle,3,"[208, 851, 893]"
3114,0.030389348044991493,conference,2,"[1038, 719]"
1904,0.030261168256402016,interest rates,2,"[677, 239]"
1897,0.030108800157904625,bank,3,"[427, 382, 239]"
2695,0.029710812494158745,help relieve,2,"[771, 454]"
185,0.029688391834497452,changes,5,"[577, 749, 1038, 18, 535]"
2705,0.029625819995999336,defend,2,"[456, 975]"
1914,0.029585275799036026,solution,3,"[952, 700, 239]"
1409,0.029565777629613876,works,6,"[997, 743, 1038, 150, 858, 476]"
916,0.029425902292132378,difficult,4,"[521, 75, 317, 239]"
