,attention,name,num_nodes,docs
2081,0.0015797789674252272,zoom broadcast,4,"[296, 260, 621, 759]"
1600,0.0015797789674252272,beverages including,2,"[177, 237]"
104,0.0015797789674252272,directly involved,2,"[10, 1026]"
1610,0.0015797789674252272,previous hours,2,"[177, 237]"
1609,0.0015797789674252272,doors talk,2,"[177, 237]"
101,0.0015797789674252272,scams please,5,"[357, 10, 651, 340, 632]"
1212,0.0015797789674252272,fire,7,"[289, 900, 262, 554, 691, 117, 311]"
1607,0.0015797789674252272,current district,2,"[177, 237]"
1790,0.0015797789674252272,wider community,2,"[660, 207]"
1606,0.0015797789674252272,settled,2,"[177, 237]"
1605,0.0015797789674252272,get seated,2,"[177, 237]"
1199,0.0015797789674252272,good work,2,"[192, 114]"
1198,0.0015797789674252272,educates,2,"[192, 114]"
91,0.0015797789674252272,alert,5,"[10, 562, 436, 695, 799]"
89,0.0015797789674252272,phone,7,"[195, 869, 168, 10, 651, 757, 858]"
2592,0.0015797789674252272,covid virus,2,"[643, 415]"
1188,0.0015797789674252272,rutherford institute,2,"[192, 114]"
1153,0.0015797789674252272,report,5,"[493, 112, 786, 247, 858]"
1599,0.0015797789674252272,profs,2,"[177, 237]"
1186,0.0015797789674252272,violated,2,"[192, 114]"
1185,0.0015797789674252272,power like,2,"[192, 114]"
945,0.0015797789674252272,number,19,"[769, 521, 153, 669, 162, 168, 190, 834, 967, 201, 203, 975, 80, 471, 728, 858, 348, 247, 378]"
1995,0.0015797789674252272,past years,3,"[649, 901, 247]"
2603,0.0015797789674252272,institutions,3,"[1000, 418, 1028]"
1994,0.0015797789674252272,eight,2,"[890, 247]"
472,0.0015797789674252272,board,17,"[576, 34, 805, 510, 39, 582, 777, 840, 492, 855, 974, 112, 464, 726, 567, 345, 30]"
1991,0.0015797789674252272,figure,2,"[361, 247]"
1447,0.0015797789674252272,drop,3,"[834, 858, 157]"
2864,0.0015797789674252272,grace,3,"[948, 660, 535]"
1594,0.0015797789674252272,pints dc,2,"[177, 237]"
1984,0.0015797789674252272,considering,5,"[742, 400, 247, 860, 573]"
479,0.0015797789674252272,look forward,13,"[930, 805, 359, 296, 618, 397, 526, 621, 887, 214, 343, 441, 30]"
1612,0.0015797789674252272,bier baron,2,"[177, 237]"
1615,0.0015797789674252272,pressure,4,"[178, 997, 454, 402]"
1778,0.0015797789674252272,third,3,"[705, 204, 781]"
220,0.0015797789674252272,backbone,4,"[769, 18, 124, 985]"
2457,0.0015797789674252272,registered nurse,2,"[362, 367]"
2458,0.0015797789674252272,pandemic began,3,"[785, 362, 894]"
1317,0.0015797789674252272,supply,4,"[1033, 131, 348, 134]"
399,0.0015797789674252272,someone,13,"[1028, 329, 975, 240, 82, 436, 799, 820, 695, 667, 988, 30, 447]"
400,0.0015797789674252272,small business,7,"[769, 837, 582, 946, 985, 602, 30]"
2098,0.0015797789674252272,subscribing members,4,"[296, 260, 621, 759]"
1310,0.0015797789674252272,covid inquiry,3,"[921, 130, 811]"
2095,0.0015797789674252272,theater attendees,4,"[296, 260, 621, 759]"
