,attention,name,num_nodes,docs
2639,0.005376344546675682,xi jinping,2,"[435, 452]"
2290,0.005376344546675682,surviving covid,2,"[456, 318]"
2794,0.005376344546675682,election year,2,"[667, 508]"
1321,0.005376344081014395,avivo night,2,"[132, 629]"
1371,0.005376344081014395,flu jab,2,"[443, 142]"
2276,0.005376344081014395,gov newsom,2,"[528, 316]"
1746,0.005376344081014395,assure,2,"[490, 199]"
1747,0.005376344081014395,highly transmissible,2,"[749, 199]"
2278,0.005376344081014395,rescind,2,"[528, 316]"
3180,0.005376344081014395,please continue,2,"[820, 886]"
2404,0.005376344081014395,techniques,2,"[732, 350]"
2190,0.005376344081014395,full covid,2,"[296, 621]"
2279,0.005376344081014395,exposed back,2,"[528, 316]"
2620,0.005376344081014395,enemy,2,"[685, 423]"
2280,0.005376344081014395,dangerous new,2,"[528, 316]"
2281,0.005376344081014395,even testing,2,"[528, 316]"
2282,0.005376344081014395,tested positive,3,"[528, 316, 820]"
1423,0.005376344081014395,zooming,2,"[152, 168]"
1441,0.005376344081014395,puts,2,"[156, 157]"
2283,0.005376344081014395,sending asymptomatic,2,"[528, 316]"
2188,0.005376344081014395,fourth evening,2,"[296, 621]"
118,0.005376344081014395,self isolation,3,"[434, 13, 943]"
1458,0.005376344081014395,high risk,3,"[749, 714, 157]"
2186,0.005376344081014395,highly informative,2,"[296, 621]"
2184,0.005376344081014395,neurological diseases,2,"[296, 621]"
2183,0.005376344081014395,brain health,2,"[296, 621]"
2263,0.005376344081014395,another cheese,2,"[891, 311]"
2980,0.005376344081014395,daily basis,2,"[749, 599]"
2182,0.005376344081014395,neuroscientist,2,"[296, 621]"
2181,0.005376344081014395,event whether,2,"[296, 621]"
2180,0.005376344081014395,wednesday january,2,"[296, 588]"
2179,0.005376344081014395,dr lisa,2,"[296, 621]"
3201,0.005376344081014395,latest guidance,2,"[873, 943]"
3202,0.005376344081014395,advice visit,2,"[873, 943]"
3040,0.005376344081014395,wear face,2,"[641, 732]"
2243,0.005376344081014395,downing street,4,"[456, 527, 478, 311]"
2177,0.005376344081014395,writes,2,"[296, 621]"
2908,0.005376344081014395,wine,2,"[554, 820]"
2796,0.005376344081014395,mask mandate,2,"[508, 805]"
2790,0.005376344081014395,government mask,2,"[698, 508]"
342,0.005376344081014395,plan b,3,"[24, 268, 254]"
1005,0.005376344081014395,followed,3,"[587, 83, 478]"
1008,0.005376344081014395,covid mitigation,2,"[636, 84]"
371,0.005376344081014395,foreign relations,3,"[435, 187, 29]"
372,0.005376344081014395,zero covid,5,"[199, 907, 435, 187, 29]"
2823,0.005376344081014395,prayer,2,"[520, 902]"
2324,0.005376344081014395,safer,2,"[330, 370]"
3078,0.005376344081014395,stay home,2,"[688, 852]"
2750,0.005376344081014395,must continue,2,"[805, 485]"
2749,0.005376344081014395,isolating,2,"[608, 485]"
1112,0.005376344081014395,full days,2,"[434, 111]"
3136,0.005376344081014395,applies,2,"[820, 757]"
2728,0.005376344081014395,stopping,2,"[473, 676]"
