,processed_text,ad_creative_body,Prevention,Treatment,Diagnosis,Mechanism,Case Report,Transmission,Forecasting,General
0,Getting vaccinated helps protect you your family members your friends your coworkers and our most vulnerable like long term care residents from COVID,"Getting vaccinated helps protect you, your family members, your friends, your coworkers and our most vulnerable — like long-term care residents — from COVID-19.",1,1,0,0,0,0,0,0
1,Latest coronavirus update for B D and surrounding boroughs The latest figures show that cases are still rising rapidly and with schools going back now we really must all take steps to keep one another safe Vaccines masks regular testing ventilation and social distancing will all help Get your vaccine or booster now if you are still yet to have yours Details here And in this update congratulations to the four awarded honours by the Queen in recognition of their contributions to our communities Well done,"Latest coronavirus update for B&D and surrounding boroughs.

The latest figures show that cases are still rising rapidly, and with schools going back now, we really must all take steps to keep one another safe. Vaccines, masks, regular testing, ventilation and social distancing will all help.

Get your vaccine or booster now if you are still yet to have yours. Details here: https://www.lbbd.gov.uk/covid-19-vaccination

And in this update congratulations to the four awarded honours by the Queen in recognition of their contributions to our communities. Well done!",1,1,0,0,0,0,0,0
2,I applaud today s Supreme Court decision striking down mandates for large employers It is time for liberal politicians in Minneapolis and St Paul to follow the Supreme Court s lead and end these disastrous mandates Elected officials who have made a career out of politics astonish me with their tone deaf policies and propensity to pick winners and losers Yesterday s mandate from Minneapolis and St Paul politicians might be the icing on the cake Vaccine mandates singling out restaurants and bars are costing our city economic revenue forcing businesses to close and hurting families Before we know it more businesses will be boarded up and gone As Attorney General I ll end the politics around COVID No vaccine mandates No more picking winners and losers TeamSmith www DennisSmith org,"I applaud today's Supreme Court decision striking down mandates for large employers. It is time for liberal politicians in Minneapolis and St. Paul to follow the Supreme Court's lead and end these disastrous mandates.

Elected officials who have made a career out of politics astonish me with their tone deaf policies and propensity to pick winners and losers. Yesterday's mandate from Minneapolis and St. Paul politicians might be the icing on the cake. Vaccine mandates singling out restaurants and bars are costing our city economic revenue, forcing businesses to close, and hurting families. Before we know it, more businesses will be boarded up and gone.

As Attorney General, I'll end the politics around COVID. No vaccine mandates. No more picking winners and losers. #TeamSmith www.DennisSmith.org

https://apnews.com/article/supreme-court-vaccine-mandate-eb5899ae1fe5b62b6f4d51f54a3cd375",1,0,0,0,0,0,0,1
3,In this episode of Policy Chats UCRSPP Dean Anil Deolalikar and Distinguished Professor of Public Policy and Sociology Bruce Link talk with public policy students about vaccine inequity COVID UCRiverside,"In this episode of Policy Chats, #UCRSPP Dean Anil Deolalikar, and Distinguished Professor of Public Policy and Sociology Bruce Link talk with public policy students about vaccine inequity. 

#COVID19 #UCRiverside",0,1,0,0,0,0,0,0
4,US fiscal response to COVID is starting to slow And it doesn t look like the Biden administration can push a lot of new spending through Congress with the Build Back Better agenda stalled Jon Lieber US Politics In Seconds,"US fiscal response to COVID is starting to slow.

And it doesn't look like the Biden administration can push a lot of new spending through Congress with the Build Back Better agenda stalled.

Jon Lieber US Politics #In60Seconds
https://www.gzeromedia.com/in-60-seconds/us-politics/",0,0,0,0,0,0,0,1
5,Today the Louisiana House Health and Welfare Committee voted to reject the proposed rule change by the Louisiana Department of Health to mandate Covid vaccines for public schools I urge the Governor to not override this decision and side with parents and their God given rights,Today the Louisiana House Health and Welfare Committee voted to reject the proposed rule change by the Louisiana Department of Health to mandate Covid-19 vaccines for public schools. I urge the Governor to not override this decision and side with parents and their God-given rights.,0,1,0,0,0,0,0,1
6,As the Covid pandemic unfolded pro and anti lockdown camps aligned with preexisting political sides The Right generally favors less restrictions and a quicker return to normal while the Left urges more caution while advocating socioeconomic overhaul Many reasons explain the division the pro commerce stance and individualistic ethic on the right the desire to introduce more welfare measures and the emphasis on collective action on the left but the role of religion has been overlooked While Christianity tends to be a stronger force on the right an often unwitting Christianity helped shape the Left s attitude toward Covid,"As the Covid-19 pandemic unfolded, pro- and anti-lockdown camps aligned with preexisting political sides. The Right generally favors less restrictions and a quicker return to normal, while the Left urges more caution while advocating socioeconomic overhaul. Many reasons explain the division—the pro-commerce stance and individualistic ethic on the right, the desire to introduce more welfare measures and the emphasis on collective action on the left—but the role of religion has been overlooked. While Christianity tends to be a stronger force on the right, an often-unwitting Christianity helped shape the Left’s attitude toward Covid.",0,0,0,0,0,0,0,1
7,Servicemembers in The National Guard have been on the domestic frontlines of Covid since Day They ve sacrificed careers educational prospects and more for our country They deserve to receive full GI Bill Benefits GIBill nationalguard Learn more,"Servicemembers in The National Guard have been on the domestic frontlines of Covid since Day 1. They've sacrificed careers, educational prospects, and more for our country. They deserve to receive full GI Bill Benefits.

#GIBill #nationalguard

Learn more: https://veteranseducationproject.org/2021/12/14/full-benefits-national-guard/",0,0,0,0,0,0,0,1
8,During the peak of COVID online learning was critical However as higher education enters a post pandemic new normal a recent study reveals that both students and faculty are increasingly optimistic about the future of online education even as their tastes and expectations change This blog article and infographic explain the findings in further detail,"During the peak of COVID-19, online learning was critical. However, as higher education enters a post-pandemic new normal, a recent study reveals that both students and faculty are increasingly optimistic about the future of online education, even as their tastes and expectations change.

This blog article and infographic explain the findings in further detail.",0,0,0,0,0,0,1,0
9,Parents are increasingly struggling to get dental care for their children as many practices are not taking on new patients or appointments are limited through Covid measures Tell us your experience good or bad of getting a dental appointment in North Tyneside since March in our survey,"Parents are increasingly struggling to get dental care for their children as many practices are not taking on new patients or appointments are limited through Covid measures. Tell us your experience, good or bad, of getting a dental appointment in North Tyneside since March 2020 in our survey: https://healthwatchnorthtyneside.co.uk/haveyoursay/dental-services/",0,0,0,0,0,0,0,1
