,Unnamed: 0,id,Prevention,Treatment,Diagnosis,Mechanism,Case Report,Transmission,Forecasting,General,Political,processed_text,ad_creation_time,page_name,page_id,funding_entity,region_distribution,Unnamed: 16,potential_reach,demographic_distribution,spend,currency,ad_creative_body
0,0,1562710000000000.0,,,,,,,,1.0,,"Kalispell News Logan Health to comply with Covid vaccine mandate Install news app trusted by millions to stay informed of latest Kalispell local news
",2022-01-21,"Kalispell, Montana Local - News Break",102652871201661.0,,,,,,"{'lower_bound': '0', 'upper_bound': '99'}",USD,"Governments around the world are providing incentives to lure citizens into getting a COVID vaccine.  

Free roller coaster rides in NYC. A cow in a town in the Philippines. A luxury apartment in Hong Kong. Or some fun at an Austrian brothel.

#GZEROWorld
https://www.gzeromedia.com/gzero-world-with-ian-bremmer/omicron-the-undoing-of-chinas-covid-strategy"
1,1,669471867380037.0,,1.0,,,1.0,,,,,"Latest update covering covid case rates booster jabs and the Queen s Platinum Jubilee
",2022-01-12,"Cllr Darren Rodwell, Leader of Barking and Dagenham Council",538400716175917.0,"Darren Rodwell, Leader of Barking and Dagenham Council","[{'percentage': '1', 'region': 'England'}]",,"{'lower_bound': '100001', 'upper_bound': '500000'}","[{'percentage': '0.000274', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.056469', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.019463', 'age': '65+', 'gender': 'male'}, {'percentage': '0.026042', 'age': '65+', 'gender': 'female'}, {'percentage': '0.041118', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.094024', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.059211', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.13295', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.090735', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001096', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.033443', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.165844', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.129934', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.141721', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.004386', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001371', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001096', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000822', 'age': '55-64', 'gender': 'unknown'}]","{'lower_bound': '0', 'upper_bound': '99'}",GBP,Vaccines are our best hope to end the COVID-19 pandemic. Call your child's doctor to learn more about vaccinating your children against COVID-19.
2,2,1214000000000000.0,1.0,,,,,,,1.0,,"Kick off your work shoes put on your boots and come enjoy Terry s Grand Baile featuring music from Ricky Guzman III at Mustangs in Weslaco Texas We will encourage CDC Covid protocols to be followed and masks to be worn inside the establishment
",2022-01-23,Terry Palacios for Hidalgo County District Attorney,108372133870973.0,Toribio Palacios,"[{'percentage': '0.000867', 'region': 'Tamaulipas'}, {'percentage': '0.999133', 'region': 'Texas'}]",,"{'lower_bound': '100001', 'upper_bound': '500000'}","[{'percentage': '0.003521', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.00088', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.026408', 'age': '65+', 'gender': 'male'}, {'percentage': '0.117958', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.038732', 'age': '65+', 'gender': 'female'}, {'percentage': '0.117077', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.073063', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.198063', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.109155', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.196303', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.051937', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.052817', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.007923', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.002641', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.002641', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00088', 'age': '45-54', 'gender': 'unknown'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,"The COVID-19 pandemic has raised global income inequality, both within and between countries, setting back progress by a decade or more. Vulnerable groups, including low-income people, youth, women, and informal workers, have faced particularly severe job and income losses. 

Without a forceful policy response, there is a risk that higher inequality will become entrenched. Support from the global community is essential to expedite a return to an inclusive and sustainable recovery. 

Join World Bank Managing Director Mari Pangestu and a distinguished panel of experts as they discuss the latest findings on inequality from the January 2022 Global Economic Prospects report, and implications for countries and the global community. 

Learn more: http://wrld.bg/987U50HAFW5"
3,3,5090100000000000.0,,,1.0,,,,,1.0,,"I just wanted to share a conversation with all of you that I had with one of our employees She has been pretty sick for a couple weeks She went into a primary care office last week and they basically tested her for COVID but gave her no other treatment or looked at her further Brixx just launched our NICE healthcare program yesterday and she signed up the same day had a virtual appointment the same day and had the Nurse Practitioner in her home this morning at am She was given about min of individual care inside the comfort of her own home No leaving the house and no waiting in a doctor s office full of other sick people She got a prescription at no charge and is on the road to getting better I thought this might help if anyone is on the fence about this program or if any other concepts have employees on the fence Doug Baker BRIXX CRAFT HOUSE It is more important than ever that staff in the food and beverage industries have access to affordable healthcare FARE Idaho members can sign up for Nice Healthcare s primary care services for a significantly discounted rate For more information about the Nice Healthcare program email hello fareidaho org
",2022-01-18,FARE Idaho,113620996986916.0,,,,"{'lower_bound': '500001', 'upper_bound': '1000000'}",,"{'lower_bound': '0', 'upper_bound': '99'}",USD,"Children 5 and over are eligible for a Covid-19 vaccination today. For more information, visit VaxOKC.com."
4,4,714091236637627.0,,,,,,,,1.0,1.0,"ONE YEAR IN How do you think Biden has handled COVID so far
",2022-01-21,Drew Ferguson,471960692929281.0,DREW FERGUSON FOR CONGRESS INC.,,,"{'lower_bound': '100001', 'upper_bound': '500000'}",,"{'lower_bound': '0', 'upper_bound': '99'}",USD,"Demand billionaires pay their fair share in taxes. If we taxed the top ten richest men on their Covid-19 gains, there would be enough to vaccinate the entire world and still leave these men $8b richer. Enough is enough. Sign the petition today!"
5,5,649292052982296.0,,,,,,,,1.0,,"A lawsuit alleging a man s COVID death occurred due to his wife s workplace may proceed a California Appellate Court has ruled raising questions about how liability coverage applies under The Workers Compensation Act WCA and Derivative Injury Doctrine
",2022-01-28,Northern California Record,975849335817140.0,The Record,"[{'percentage': '1', 'region': 'California'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.000417', 'age': '13-17', 'gender': 'unknown'}, {'percentage': '0.254583', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.00125', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.002083', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001667', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.047083', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.132083', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.21375', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.164583', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.0025', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000833', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.03875', 'age': '65+', 'gender': 'female'}, {'percentage': '0.040417', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.045833', 'age': '65+', 'gender': 'male'}, {'percentage': '0.02875', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.025', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000417', 'age': '13-17', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,"“The small business community is feeling the strain of an exponential rise in COVID-19 cases as the omicron variant continues to take hold in western Washington.”

We must keep up support for small businesses to weather the ongoing pandemic!

https://www.king5.com/article/money/business/small-businesses-grapple-with-covid-19-omicron-variant-surge-in-western-washington/281-4061e642-dc97-4d3c-bd59-1e88cba0243c"
6,6,303829228324264.0,,,,,,,1.0,,,"Most leading immunologists predict Covid will someday become an endemic a persistent but manageable threat on par with seasonal flu conceivably by the end of
",2021-12-22,The Fulcrum,296093157932840.0,The Fulcrum,"[{'percentage': '0.003513', 'region': 'Delaware'}, {'percentage': '0.07843', 'region': 'Ohio'}, {'percentage': '0.022158', 'region': 'Minnesota'}, {'percentage': '0.019118', 'region': 'Missouri'}, {'percentage': '0.003107', 'region': 'Montana'}, {'percentage': '0.003378', 'region': 'Nevada'}, {'percentage': '0.008174', 'region': 'New Hampshire'}, {'percentage': '0.048031', 'region': 'New Jersey'}, {'percentage': '0.005269', 'region': 'New Mexico'}, {'percentage': '0.072823', 'region': 'New York'}, {'percentage': '0.027967', 'region': 'North Carolina'}, {'percentage': '0.003107', 'region': 'North Dakota'}, {'percentage': '0.007161', 'region': 'Oklahoma'}, {'percentage': '0.035736', 'region': 'Massachusetts'}, {'percentage': '0.013038', 'region': 'Oregon'}, {'percentage': '0.073364', 'region': 'Pennsylvania'}, {'percentage': '0.005675', 'region': 'Rhode Island'}, {'percentage': '0.011281', 'region': 'South Carolina'}, {'percentage': '0.015672', 'region': 'Tennessee'}, {'percentage': '0.036682', 'region': 'Texas'}, {'percentage': '0.004526', 'region': 'Utah'}, {'percentage': '0.004256', 'region': 'Vermont'}, {'percentage': '0.025333', 'region': 'Virginia'}, {'percentage': '0.027832', 'region': 'Washington'}, {'percentage': '0.050936', 'region': 'Michigan'}, {'percentage': '0.030805', 'region': 'Maryland'}, {'percentage': '0.005472', 'region': 'Mississippi'}, {'percentage': '0.018915', 'region': 'Connecticut'}, {'percentage': '0.007836', 'region': 'Nebraska'}, {'percentage': '0.003378', 'region': 'South Dakota'}, {'percentage': '0.009187', 'region': 'West Virginia'}, {'percentage': '0.001892', 'region': 'Wyoming'}, {'percentage': '0.010268', 'region': 'Alabama'}, {'percentage': '0.005067', 'region': 'Alaska'}, {'percentage': '0.012362', 'region': 'Arizona'}, {'percentage': '0.005539', 'region': 'Arkansas'}, {'percentage': '0.04087', 'region': 'California'}, {'percentage': '0.010944', 'region': 'Colorado'}, {'percentage': '0.001621', 'region': 'Washington, District of Columbia'}, {'percentage': '0.008917', 'region': 'Maine'}, {'percentage': '0.030399', 'region': 'Florida'}, {'percentage': '0.023239', 'region': 'Georgia'}, {'percentage': '0.003175', 'region': 'Hawaii'}, {'percentage': '0.004526', 'region': 'Idaho'}, {'percentage': '0.060326', 'region': 'Illinois'}, {'percentage': '0.026481', 'region': 'Indiana'}, {'percentage': '0.010268', 'region': 'Iowa'}, {'percentage': '0.010606', 'region': 'Kansas'}, {'percentage': '0.011687', 'region': 'Kentucky'}, {'percentage': '0.01243', 'region': 'Louisiana'}, {'percentage': '0.027224', 'region': 'Wisconsin'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.001274', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.139168', 'age': '65+', 'gender': 'female'}, {'percentage': '0.002616', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.016365', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.026828', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.059691', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.151174', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.062106', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.183233', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.043125', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.002817', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.043528', 'age': '65+', 'gender': 'male'}, {'percentage': '0.208853', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.041315', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.010932', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.003219', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000201', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '6.7E-5', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.003488', 'age': '45-54', 'gender': 'unknown'}]","{'lower_bound': '100', 'upper_bound': '199'}",USD,"Did you know that Maryland hosoitals are being pushed to their limits? 9% of residents who remain unvaccinated are responsible for 75% of Covid-related hospitalizations, resulting in longer ER waits and delays in surgery for everyone. 

Get vaxxed, get boostered, for your health and ours.

I'm on my way for my booster now."
7,7,607355483874070.0,,,,,,,,1.0,,"ScamAlert We have received reports of a scam phone call targeting Kent residents claiming to be BT Openreach This is a SCAM BT Openreach will never contact you out of the blue as they do not provide internet service directly They are responsible for running and maintaining the phone and broadband network are not directly involved with the public On their website BT Openreach say Openreach will never ask you for personal information like bank details either in person over the phone or by email We ll also never ask to remotely access your computer phone or tablet So if someone gets in touch saying they re from Openreach and asks for any personal information don t give it to them For advice and to report scams contact Citizens Advice via the website or call Due to Covid we have seen an increase in scams Please share this alert with friends and family ConnectedCommunities ScamAware StaySafe
",2022-01-05,Public Protection - Kent,386603161497200.0,Kent County Council,"[{'percentage': '0.999368', 'region': 'England'}, {'percentage': '0.000632', 'region': 'Wales'}]",,"{'lower_bound': '500001', 'upper_bound': '1000000'}","[{'percentage': '0.002975', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.203164', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.001542', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000151', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.000774', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002455', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000738', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.001862', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.024021', 'age': '65+', 'gender': 'female'}, {'percentage': '0.070285', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.058943', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000121', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.079082', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.07147', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.039523', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.097589', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.161562', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.045472', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.119735', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.018489', 'age': '65+', 'gender': 'male'}, {'percentage': '4.8E-5', 'age': '13-17', 'gender': 'unknown'}]","{'lower_bound': '200', 'upper_bound': '299'}",GBP,"This continues to be an uncertain and scary time for us all. Elevate Chicago is staying up-to-date on how #covid19 is impacting individuals and communities around the country, and we are sharing information on how we keep our families, students, volunteers, and the entire community informed about how to stay safe. 

Please check out our resource and share with anyone who might need it!

https://bit.ly/3qWkZGj"
8,8,511168933649310.0,1.0,,,,,,,1.0,,"HELPING BUSINESSES NAVIGATE THE PANDEMIC The Hong Kong SAR Government is supporting eligible owners of pleasure vessels as well as beauty parlours massage establishments and party rooms to cope with financial hits related to social distancing measures This is part of the fifth round Anti epidemic Fund of billion US million to keep companies afloat amid the challenges of COVID Find out more brandhongkong asiasworldcity hongkong antiepidemicfund reliefmeasures covid pandemic financialsupport
",2022-01-24,Brand Hong Kong,550592228409362.0,,"[{'percentage': '0.009087', 'region': 'Lazio'}, {'percentage': '0.014825', 'region': 'Samut Sakhon'}, {'percentage': '0.13056', 'region': 'Nonthaburi'}, {'percentage': '0.028216', 'region': 'Pathum Thani'}, {'percentage': '0.233859', 'region': 'Bangkok'}, {'percentage': '0.062649', 'region': 'Samut Prakan'}, {'percentage': '0.001913', 'region': 'Chachoengsao'}, {'percentage': '0.006695', 'region': 'Nakhon Pathom'}, {'percentage': '0.04065', 'region': 'Aceh'}, {'percentage': '0.002869', 'region': 'England'}, {'percentage': '0.139646', 'region': 'Jakarta'}, {'percentage': '0.10043', 'region': 'West Java'}, {'percentage': '0.13582', 'region': 'Banten'}, {'percentage': '0.03252', 'region': 'Riau Islands Province'}, {'percentage': '0.001435', 'region': 'Leningrad Oblast'}, {'percentage': '0.001435', 'region': 'Moscow Oblast'}, {'percentage': '0.000478', 'region': 'Queensland'}, {'percentage': '0.000478', 'region': 'Ayutthaya'}, {'percentage': '0.001435', 'region': 'Flemish Region'}, {'percentage': '0.009565', 'region': 'Lombardia'}, {'percentage': '0.000478', 'region': 'Singapore'}, {'percentage': '0.001913', 'region': 'Chiba Prefecture'}, {'percentage': '0.000478', 'region': 'Hyōgo Prefecture'}, {'percentage': '0.001435', 'region': 'Kanagawa Prefecture'}, {'percentage': '0.000478', 'region': 'Osaka Prefecture'}, {'percentage': '0.003348', 'region': 'Tokyo'}, {'percentage': '0.000478', 'region': 'Noord-Holland'}, {'percentage': '0.000956', 'region': 'Busan'}, {'percentage': '0.000956', 'region': 'Brussels'}, {'percentage': '0.007174', 'region': 'Seoul'}, {'percentage': '0.000956', 'region': 'Incheon'}, {'percentage': '0.007174', 'region': 'Gyeonggi-do'}, {'percentage': '0.000478', 'region': 'Gyeongsangnam-do'}, {'percentage': '0.000478', 'region': 'Ulsan'}, {'percentage': '0.003826', 'region': 'Comunidad de Madrid'}, {'percentage': '0.010043', 'region': 'Cataluña'}, {'percentage': '0.004782', 'region': 'Île-de-France'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.001437', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.002395', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.114943', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.011015', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.146552', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.116858', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.243774', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.202586', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.153257', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.005747', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.001437', 'age': '25-34', 'gender': 'unknown'}]","{'lower_bound': '0', 'upper_bound': '99'}",HKD,"A good reminder that anyone looks tiny next to this iconic sign 🙂 Look closely, you can see the pita I picked up at Sami Makolet today! Spent this morning walking down Fairfax with longtime community leader Vivian Alberts, speaking with local business owners at institutions such as Sami’s, Canter’s, and Western Kosher to hear their greatest concerns for our District. Over and over, I hear the same thing: rising crime, the explosion in homelessness, and COVID-19. 

People are scared and tired and frustrated. Enough is enough. We need fresh leadership dedicated to tackling these issues urgently and head on. It’s far past time to turn things around. This is why I’m running."
9,9,300427965188991.0,,,,,,,,1.0,,"This time last year I made a video covering the implications of the EU Withdrawal Agreement and commented that caveats were included in that agreement which were designed to prevent either EU or the UK taking unilateral action on things like employment rights After the latest resignation of a minister with responsibility for Brexit it has come to light that one of the reasons for that resignation was Lord Frost wanted to pursue a lighter regulated free market economy for the UK The implication of this plus the recent voicings of Dominic Raab regarding replacing the Human Rights Act provides a warning about the future of regulatory standards and human rights in the UK Human Resource Management Made Easy promotes ethical HR and Employee Relations and this video argues such Also in the present go to work don t go to work stay at home work from home work as normal state of affairs I briefly cover a health and safety issue of whether to confront a person refusing to wear a mask in a shop For other videos covering Covid please see the back catalogue on these Facebook Page and YouTube channel
",2021-12-22,Human Resource Management Made Easy,411893499416487.0,Michael Gill,"[{'percentage': '1', 'region': 'England'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.001122', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.002245', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001122', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.131313', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.01908', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.011223', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.016835', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.087542', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.097643', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.200898', 'age': '65+', 'gender': 'male'}, {'percentage': '0.089787', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.085297', 'age': '65+', 'gender': 'female'}, {'percentage': '0.191919', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.060606', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.003367', 'age': '35-44', 'gender': 'unknown'}]","{'lower_bound': '0', 'upper_bound': '99'}",GBP,"For five years as your District 6 Councilwoman, I’ve worked  to make #SanJosé a safe, clean, and thriving city for all. 

Some of my accomplishments include:

- Accelerating the affordable housing process
- Adding 300+ police officers to SJPD
- Securing life-saving LUCAS CPR devices for fire engines
- Co-creating Al Fresco outdoor dining during Covid
- Prioritizing building and staffing of new Fire Station 37
- Adding two new properties for future parks

Let’s make San José #BetterTogether

#VoteDevDavisSanJoséMayor
DevDavis.com"
